Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:43:08.399894,10.0.45.165,victim,DDoS,0.8600,27.25,0.22,"DROP_RULE_INSTALLED(ip=10.0.45.165, priority=100, timeout=300s)"
2026-05-24T22:43:08.435811,10.0.137.54,victim,DDoS,0.8600,31.80,0.30,"DROP_RULE_INSTALLED(ip=10.0.137.54, priority=100, timeout=300s)"
2026-05-24T22:43:08.471615,10.0.144.103,victim,DDoS,0.8600,30.80,0.20,"DROP_RULE_INSTALLED(ip=10.0.144.103, priority=100, timeout=300s)"
2026-05-24T22:43:08.500275,10.0.187.86,victim,DDoS,0.8600,26.00,0.17,"DROP_RULE_INSTALLED(ip=10.0.187.86, priority=100, timeout=300s)"
2026-05-24T22:43:08.528540,10.0.28.89,victim,DDoS,0.8600,25.68,0.15,"DROP_RULE_INSTALLED(ip=10.0.28.89, priority=100, timeout=300s)"
2026-05-24T22:43:08.556488,10.0.250.195,victim,DDoS,0.8600,25.44,0.16,"DROP_RULE_INSTALLED(ip=10.0.250.195, priority=100, timeout=300s)"
2026-05-24T22:43:08.585137,10.0.235.168,victim,DDoS,0.8600,26.17,0.14,"DROP_RULE_INSTALLED(ip=10.0.235.168, priority=100, timeout=300s)"
2026-05-24T22:43:08.613694,10.0.113.78,victim,DDoS,0.8600,26.01,0.14,"DROP_RULE_INSTALLED(ip=10.0.113.78, priority=100, timeout=300s)"
2026-05-24T22:43:08.641750,10.0.169.167,victim,DDoS,0.7800,25.52,0.14,"DROP_RULE_INSTALLED(ip=10.0.169.167, priority=100, timeout=300s)"
2026-05-24T22:43:08.669859,10.0.70.176,victim,DDoS,0.8400,26.15,0.15,"DROP_RULE_INSTALLED(ip=10.0.70.176, priority=100, timeout=300s)"
2026-05-24T22:43:08.727065,10.0.80.248,victim,DDoS,0.8600,25.80,0.18,"DROP_RULE_INSTALLED(ip=10.0.80.248, priority=100, timeout=300s)"
